Track name,Composer,Movement,Key,Time Signature,Tempo,Beat,Measures,,,
Beethoven x Liszt - Symphony No. 5 In C minor - Simplified,Franz Liszt,,C minor,4-Feb,Allegro con brio,half = 108,All,,C minor,5
Maple Leaf Rag,Scott Joplin,,Ab major,4-Feb,Tempo Di Marcia,quarter = 100,"1-50, 69-",,C# major,0
Maple Leaf Rag,Scott Joplin,,Db major,4-Feb,Tempo Di Marcia,quarter = 100,51-68,,C# major,0
Pineapple Rag,Scott Joplin,,Bb major,4-Feb,,quarter = 100,Jan-54,,C# minor,6
Pineapple Rag,Scott Joplin,,Eb major,4-Feb,,quarter = 100,55-,,C# minor,6
Romanian Folk Dances,Bela Bartok,Topogó / Pe loc,B minor,4-Feb,Andante,quarter = 112,All,,Db minor,0
"30 Etudes de mecanisme, Op. 849 No. 1",Carl Czerny,,C major,4-Apr,Allegro,half = 100,All,,C major,6
"Nocturne in D-flat major, Op. 27, No. 2",Frederic Chopin,,Db major,8-Jun,Lento sostenuto,quarter = 50,All,,D minor,3
Scherzo from Sonata (Divertimento) in F Major,Joseph Haydn,,F major,4-Feb,Maestoso,quarter = 69-80,All (26),,D# major,0
A Real Slow Drag,Scott Joplin,,B minor,4-Apr,Larghetto,quarter = 100,20-Jan,,Db major,7
A Real Slow Drag,Scott Joplin,,F major,4-Apr,Larghetto,quarter = 100,21-56,,Db major,7
A Real Slow Drag,Scott Joplin,,Bb major,4-Apr,Larghetto,quarter = 100,57-90,,Db major,7
"Rossini/Liszt - William Tell Overture, Finale",Franz Liszt,,E major,4-Feb,Allegro vivace,quarter = 152,All,,D major,4
Scherzo No. 1 Op. 20,Frederic Chopin,,B minor,4-Mar,Presto con fuoco,,"1-304, 389-",,A major,5
"Waltz in D-flat major, Op. 64, No. 1",Frederic Chopin,,Db major,4-Mar,Molto vivace,,All,,A minor,5
Valsette in E minor,Jean Sibelius,,E minor,4-Mar,,,All,,A# major,0
"Grand Piano Sonata in G major, Op. 37",Pyotr Tchaikovsky,Finale,G major,4-Mar,Moderato e risoluto,,All,,A# minor,0
"Polonaise in A-flat major, Op. 53",Frederic Chopin,,Ab major,4-Mar,Maestoso,,"1-81, 117-",,Ab major,3
Scherzo No. 1 Op. 20,Frederic Chopin,,B major,4-Mar,Molto piu lento,,305-388,,Ab minor,0
Fur Elise,Ludwig van Beethoven,,A minor,8-Mar,,,All,,B major,3
"Sonata (Divertimento) In G Major, Hob.XVI 11",Joseph Haydn,,G major,8-Mar,Presto,,25-Jan,,B minor,4
"Sonata (Divertimento) In G Major, Hob.XVI 11",Joseph Haydn,,Bb major,8-Mar,Presto,,26-51,,B minor,4
Two Arabesques L. 66 No. 1,Claude Debussy,,A major,4-Apr,,,39-70,,B# major,0
Estampes L. 100 No. 1 Pagodes,Claude Debussy,,B major,4-Apr,,,All,,B# minor,0
La fille aux cheveux de lin,Claude Debussy,,Gb major,4-Mar,,,All,,Bb major,7
Mephisto Waltz No. 1 S. 514,Franz Liszt,,A major,8-Mar,Allegro vivace (quasi presto),,1-136,,Bb minor,3
The Entertainer,Scott Joplin,,C major,4-Feb,,quarter = 80,Jan-69,,D# minor,1
"Six Pieces for Piano, Op. 118 No. 1 Intermezzo in A minor",Johannes Brahms,,A minor,2-Feb,"Allegro non assai, ma molto appassionato",,All,,E major,3
"Piano Sonata No. 14""Moonlight""",Ludwig van Beethoven,Adagio sostenuto,C# minor,2-Feb,,,All,,E minor,4
The Ragtime Dance,Scott Joplin,,Bb major,4-Feb,Not too fast,quarter = 85,21,,Eb major,4
Gershwin Prelude no. 2,George Gershwin,,C# minor,4-Apr,Andante con moto e poco rubato,quarter = 88,All,,Eb minor,3
Impromptu No. 2 Op. 36,Frederic Chopin,,F# major,2-Feb,Allegretto,,"1-39, 73-",,F major,5
Ballade No. 1 Op. 23,Frederic Chopin,,G minor,2-Feb,Presto con fuoco,,208 - ,,F minor,2
Le petit negre,Claude Debussy,,C major,4-Feb,Allegro giusto,,All,,F# major,4
Liszt - Hungarian Rhapsody No. 2,Franz Liszt,,C# minor,4-Feb,Lento a capriccio,,All,,F# minor,3
"Lyric Pieces Book I, Op. 12 No. 1 Arietta",Edvard Grieg,,Eb major,4-Feb,Poco andante e sostenuto,,All,,G major,4
Cleopha,Scott Joplin,,F major,4-Feb,Tempo Di Marcia,,55,,G minor,6
"Etude Op. 25, No. 9",Frederic Chopin,,Gb major,4-Feb,Allegro assai,,All,,G# major,0
